impl,evaluator,N,D,iters,seed,eval_ms,reduce_ms,update_ms,total_ms,final_gbest,achieved_bw_gbps,achieved_gflops
gpu,levy,16384,10,1000,1,10.668847,7.086789,9.898685,27.654320,7.6427419e-15,168.257836,118.491434
gpu,levy,16384,10,1000,2,10.750932,7.121538,9.971292,27.843761,7.6427419e-15,167.113054,117.685249
gpu,levy,16384,10,1000,3,10.705805,7.107681,10.085409,27.898895,7.6427419e-15,166.782805,117.452679
gpu,levy,16384,10,1000,4,10.708277,7.134531,10.058517,27.901325,7.6427419e-15,166.768279,117.442450
gpu,levy,16384,10,1000,5,10.716721,7.111169,9.952603,27.780491,7.6427419e-15,167.493657,117.953279
gpu,levy,16384,30,1000,1,26.368187,7.499615,41.146107,75.013908,7.6427419e-15,184.340428,131.047698
gpu,levy,16384,30,1000,2,26.410200,7.674339,41.179028,75.263565,7.6427419e-15,183.728953,130.613000
gpu,levy,16384,30,1000,3,25.922844,7.548613,40.909176,74.380630,7.6427419e-15,185.909906,132.163440
gpu,levy,16384,30,1000,4,25.863630,8.004270,40.807247,74.675148,7.6427419e-15,185.176680,131.642190
gpu,levy,16384,30,1000,5,25.975243,7.671810,40.842133,74.489182,7.6427419e-15,185.638984,131.970842
gpu,levy,16384,100,1000,1,142.229263,7.872910,134.778778,284.880951,7.8697018e-14,161.262927,115.023486
gpu,levy,16384,100,1000,2,132.432571,7.990993,132.963013,273.386597,0.97371167,168.043118,119.859570
gpu,levy,16384,100,1000,3,133.091354,7.978861,133.087601,274.157837,7.6427419e-15,167.570391,119.522390
gpu,levy,16384,100,1000,4,137.876892,7.987604,134.077576,279.942078,7.6427419e-15,164.108005,117.052786
gpu,levy,16384,100,1000,5,134.131027,7.867623,133.636078,275.634735,0.97371155,166.672520,118.881969
gpu,schaffer,256,2,1000,1,6.999020,6.500742,7.353634,20.853395,0.5,0.736571,0.491047
gpu,schaffer,256,2,1000,2,6.986667,6.533442,7.362978,20.883087,0.5,0.735523,0.490349
gpu,schaffer,256,2,1000,3,6.971278,6.535230,7.327299,20.833807,0.5,0.737263,0.491509
gpu,schaffer,256,2,1000,4,6.963818,6.509000,7.347105,20.819923,0.5,0.737755,0.491837
gpu,schaffer,256,2,1000,5,6.896104,6.360296,7.232641,20.489042,0.5,0.749669,0.499779
gpu,schaffer,1024,2,1000,1,7.027118,6.421387,7.323394,20.771900,0.5,2.957842,1.971895
gpu,schaffer,1024,2,1000,2,6.936297,6.353640,7.210814,20.500751,0.5,2.996963,1.997976
gpu,schaffer,1024,2,1000,3,7.006765,6.406116,7.345568,20.758450,0.5,2.959759,1.973172
gpu,schaffer,1024,2,1000,4,6.962538,6.507852,7.292544,20.762934,0.5,2.959119,1.972746
gpu,schaffer,1024,2,1000,5,6.975917,6.466855,7.322086,20.764858,0.5,2.958845,1.972563
gpu,schaffer,4096,2,1000,1,7.161780,9.530073,7.311422,24.003275,0.5,10.238603,6.825735
gpu,schaffer,4096,2,1000,2,7.156370,9.591749,7.393632,24.141752,0.5,10.179874,6.786583
gpu,schaffer,4096,2,1000,3,7.129170,9.615362,7.338272,24.082806,0.5,10.204791,6.803194
gpu,schaffer,4096,2,1000,4,7.204943,9.590368,7.211039,24.006350,0.5,10.237292,6.824861
gpu,schaffer,4096,2,1000,5,7.141072,9.528892,7.339205,24.009169,0.5,10.236090,6.824060
gpu,schaffer,16384,2,1000,1,6.469705,8.946881,8.712875,24.129461,0.5,40.740238,27.160159
gpu,schaffer,16384,2,1000,2,6.536740,8.679079,8.491756,23.707577,0.5,41.465225,27.643483
gpu,schaffer,16384,2,1000,3,6.546861,8.832685,8.508499,23.888044,0.5,41.151966,27.434644
gpu,schaffer,16384,2,1000,4,6.530025,8.859429,8.502572,23.892025,0.5,41.145110,27.430073
gpu,schaffer,16384,2,1000,5,6.520578,8.805827,8.526585,23.852989,0.5,41.212445,27.474963
