D,N,ranks,category,name,total_ms,percent
30,8388608,2,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.2524,0.00
30,8388608,2,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1666,0.00
30,8388608,2,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0015,0.00
30,8388608,4,api,cudaDeviceSynchronize,3732.8210,67.60
30,8388608,4,api,cudaMemcpy,1746.3630,31.60
30,8388608,4,api,cudaFree,19.1983,0.30
30,8388608,4,api,cudaMemcpyFromSymbol,11.0097,0.20
30,8388608,4,api,cudaLaunchKernel,5.7182,0.10
30,8388608,4,api,cudaMalloc,5.0697,0.10
30,8388608,4,api,cudaEventRecord,1.0080,0.00
30,8388608,4,api,cudaEventCreate,0.3622,0.00
30,8388608,4,api,cuGetProcAddress_v2,0.1848,0.00
30,8388608,4,api,cudaEventDestroy,0.1763,0.00
30,8388608,4,api,cudaMemset,0.0107,0.00
30,8388608,4,api,cudaEventSynchronize,0.0068,0.00
30,8388608,4,api,cuModuleGetLoadingMode,0.0041,0.00
30,8388608,4,api,cuInit,0.0041,0.00
30,8388608,4,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",1436.3913,38.40
30,8388608,4,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",1299.0476,34.80
30,8388608,4,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",906.6628,24.30
30,8388608,4,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",74.0535,2.00
30,8388608,4,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",12.5800,0.30
30,8388608,4,kernel,void cub::CUB_200200_750_NS::DeviceReduceKernel<cub::CUB_200200_750_NS::DeviceReducePolicy<cub::CUB…,7.1040,0.20
30,8388608,4,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.2521,0.00
30,8388608,4,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1664,0.00
30,8388608,4,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0015,0.00
30,8388608,8,api,cudaDeviceSynchronize,3735.2970,67.50
30,8388608,8,api,cudaMemcpy,1752.7864,31.70
30,8388608,8,api,cudaFree,18.7445,0.30
30,8388608,8,api,cudaMemcpyFromSymbol,17.9520,0.30
30,8388608,8,api,cudaMalloc,5.6887,0.10
